1. Tech Provider ID,2. Node ID,3. Tech Type
1251,8,tA2
1252,287,tA2
1253,1901,tA2
1254,308,tA2
1255,2251,tA2
1256,1177,tA2
1257,465,tA2
1258,1829,tA2
1259,709,tA2
1260,2788,tA2
1261,681,tA2
1262,98,tA2
1263,2184,tA2
1264,1144,tA2
1265,2927,tA2
1266,1006,tA2
1267,2253,tA2
1268,2828,tA2
1269,611,tA2
1270,1761,tA2
1271,1134,tA2
1272,2380,tA2
1273,1220,tA2
1274,1412,tA2
1275,366,tA2
1276,2064,tA2
1277,2400,tA2
1278,1839,tA2
1279,1468,tA2
1280,2688,tA2
1281,2210,tA2
1282,607,tA2
1283,35,tA2
1284,1290,tA2
1285,1532,tA2
1286,77,tA2
1287,3078,tA2
1288,747,tA2
1289,852,tA2
1290,2989,tA2
1291,1849,tA2
1292,3031,tA2
1293,2325,tA2
1294,1485,tA2
1295,1579,tA2
1296,3033,tA2
1297,619,tA2
1298,1206,tA2
1299,2211,tA2
1300,1166,tA2
1301,1181,tA2
1302,42,tA2
1303,28,tA2
1304,989,tA2
1305,513,tA2
1306,186,tA2
1307,2011,tA2
1308,2024,tA2
1309,318,tA2
1310,2454,tA2
1311,1881,tA2
1312,3096,tA2
1313,580,tA2
1314,108,tA2
1315,2912,tA2
1316,2605,tA2
1317,1919,tA2
1318,2846,tA2
1319,780,tA2
1320,208,tA2
1321,1879,tA2
1322,1243,tA2
1323,786,tA2
1324,2932,tA2
1325,2451,tA2
1326,415,tA2
1327,840,tA2
1328,1964,tA2
1329,2472,tA2
1330,2909,tA2
1331,1834,tA2
1332,48,tA2
1333,2013,tA2
1334,1108,tA2
1335,2500,tA2
1336,1351,tA2
1337,2863,tA2
1338,2930,tA2
1339,505,tA2
1340,2311,tA2
1341,2037,tA2
1342,1745,tA2
1343,2163,tA2
1344,1225,tA2
1345,2176,tA2
1346,1920,tA2
1347,2964,tA2
1348,2915,tA2
1349,833,tA2
1350,1845,tA2
1351,480,tA2
1352,39,tA2
1353,3069,tA2
1354,2088,tA2
1355,978,tA2
1356,2508,tA2
1357,1163,tA2
1358,1035,tA2
1359,2259,tA2
1360,2635,tA2
1361,180,tA2
1362,3059,tA2
1363,2820,tA2
1364,2724,tA2
1365,1853,tA2
1366,1735,tA2
1367,58,tA2
1368,1935,tA2
1369,336,tA2
1370,559,tA2
1371,3027,tA2
1372,1471,tA2
1373,1241,tA2
1374,2191,tA2
1375,26,tA2
1376,22,tA2
1377,1868,tA2
1378,2201,tA2
1379,520,tA2
1380,2934,tA2
1381,1911,tA2
1382,2069,tA2
1383,2492,tA2
1384,2247,tA2
1385,405,tA2
1386,2280,tA2
1387,3041,tA2
1388,2670,tA2
1389,1460,tA2
1390,421,tA2
1391,1571,tA2
1392,3012,tA2
1393,2320,tA2
1394,1802,tA2
1395,2230,tA2
1396,2865,tA2
1397,697,tA2
1398,365,tA2
1399,1253,tA2
1400,1408,tA2
1401,2242,tA2
1402,2539,tA2
1403,335,tA2
1404,1128,tA2
1405,974,tA2
1406,666,tA2
1407,2596,tA2
1408,61,tA2
1409,2940,tA2
1410,906,tA2
1411,1465,tA2
1412,2157,tA2
1413,215,tA2
1414,3049,tA2
1415,374,tA2
1416,2170,tA2
1417,1870,tA2
1418,2227,tA2
1419,685,tA2
1420,706,tA2
1421,2204,tA2
1422,3098,tA2
1423,2465,tA2
1424,1804,tA2
1425,693,tA2
1426,2796,tA2
1427,1216,tA2
1428,2923,tA2
1429,2900,tA2
1430,1954,tA2
1431,1847,tA2
1432,2319,tA2
1433,2833,tA2
1434,1385,tA2
1435,2794,tA2
1436,1475,tA2
1437,2924,tA2
1438,2395,tA2
1439,2080,tA2
1440,1799,tA2
1441,155,tA2
1442,1733,tA2
1443,2725,tA2
1444,1875,tA2
1445,1800,tA2
1446,1794,tA2
1447,436,tA2
1448,2933,tA2
1449,2031,tA2
1450,1277,tA2
1451,357,tA2
1452,2041,tA2
1453,2999,tA2
1454,1775,tA2
1455,3085,tA2
1456,653,tA2
1457,2266,tA2
1458,223,tA2
1459,125,tA2
1460,2082,tA2
1461,345,tA2
1462,1974,tA2
1463,1405,tA2
1464,2816,tA2
1465,1779,tA2
1466,2468,tA2
1467,983,tA2
1468,2766,tA2
1469,2160,tA2
1470,935,tA2
1471,718,tA2
1472,2116,tA2
1473,25,tA2
1474,1942,tA2
1475,1189,tA2
1476,1589,tA2
1477,669,tA2
1478,3063,tA2
1479,2424,tA2
1480,2881,tA2
1481,1102,tA2
1482,2007,tA2
1483,303,tA2
1484,499,tA2
1485,2192,tA2
1486,2306,tA2
1487,1287,tA2
1488,2591,tA2
1489,2694,tA2
1490,2738,tA2
1491,1891,tA2
1492,174,tA2
1493,1160,tA2
1494,1275,tA2
1495,1821,tA2
1496,1032,tA2
1497,381,tA2
1498,1781,tA2
1499,1872,tA2
1500,504,tA2
1501,1052,tA2
1502,2312,tA2
1503,862,tA2
1504,484,tA2
1505,117,tA2
1506,1401,tA2
1507,661,tA2
1508,1145,tA2
1509,1346,tA2
1510,1544,tA2
1511,1231,tA2
1512,690,tA2
1513,1256,tA2
1514,752,tA2
1515,2016,tA2
1516,2148,tA2
1517,3022,tA2
1518,1298,tA2
1519,68,tA2
1520,1249,tA2
1521,1953,tA2
1522,2975,tA2
