time,demand,com_gens,started,off,gen_m,gen_p,gen_tot,D_shed
213.25,10959.783215059773,13.0,4.0,0.0,0.0,12055.761536565693,12055.761536565693,0.0
213.5,10987.728461439889,14.0,1.0,0.0,0.0,12086.501307583443,12086.501307583443,0.0
213.75,11008.585705205931,14.0,0.0,0.0,0.0,12109.44427572649,12109.44427572649,0.0
214.0,11029.442948971977,18.0,4.0,0.0,0.0,12132.38724386918,12132.38724386918,0.0
214.25,11051.975323705828,18.0,1.0,1.0,0.0,12157.172856076404,12157.172856076404,0.0
214.5,11072.83256747187,18.0,0.0,0.0,0.0,12180.11582421866,12180.11582421866,0.0
214.75,11089.093635742818,19.0,1.0,0.0,0.0,12198.002999317046,12198.002999317046,0.0
215.0,11105.354704013766,19.0,0.0,0.0,0.0,12215.890174415104,12215.890174415104,0.0
215.25,11122.044989505532,20.0,1.0,0.0,0.0,12234.24948845606,12234.24948845606,0.0
215.5,11138.306057776483,21.0,1.0,0.0,0.0,12252.136663554105,12252.136663554105,0.0
215.75,11152.462777921306,22.0,1.0,0.0,0.0,12267.70905571339,12267.70905571339,0.0
216.0,11166.619498066128,23.0,1.0,0.0,0.0,12283.28144787283,12283.28144787283,0.0
216.25,11180.299069340163,23.0,0.0,0.0,5.372083908375329,12298.328976274252,12303.701060182628,1.8368148482327284e-10
216.5,11194.455789484988,24.0,1.0,0.0,1.4710455076283324e-14,12313.901368432958,12313.901368432958,-4.7954271265047724e-8
216.75,11208.547258748826,24.0,0.0,0.0,1.4654943925052066e-14,12329.401984623626,12329.401984623626,1.880688477280446e-10
217.0,11222.638728012658,23.0,0.0,1.0,4.9775128463380724e-11,12344.902600813615,12344.902600813664,-4.703187804661447e-9
217.25,11236.591686592148,25.0,2.0,0.0,1.1920797682307693e-10,12360.250855251028,12360.250855251148,4.977624995204722e-10
217.5,11250.683155855982,25.0,0.0,0.0,1.2656542480726785e-14,12375.751471440106,12375.751471440106,-1.0653699963522408e-9
217.75,11264.937555738625,25.0,1.0,1.0,1.7208456881689926e-14,12391.431311312344,12391.431311312344,2.778204991011276e-10
218.0,11279.191955621263,25.0,0.0,0.0,1.4725004549021037e-10,12407.111151183031,12407.111151183179,2.0964867682916355e-11
218.25,11293.533302037535,25.0,0.0,0.0,2.1316282072803006e-14,12422.88663224089,12422.88663224089,-2.999904852802363e-11
218.5,11307.787701920175,24.0,0.0,1.0,1.787459069646502e-14,12438.566472112392,12438.566472112392,5.305899554942641e-10
218.75,11321.980483297575,23.0,0.0,1.0,3.1399885410660375,12454.178531626687,12457.318520167753,4.974199011390147e-10
219.0,11336.173264674977,22.0,0.0,1.0,5.473044240034142e-11,12469.790591141335,12469.790591141389,1.5699334392035448e-9
219.25,11350.565266116779,21.0,0.0,1.0,0.0,12485.621792728545,12485.621792728545,0.0
219.5,11364.75804749418,21.0,0.0,0.0,0.0,12501.23385224358,12501.23385224358,0.0
219.75,11378.664662617295,20.0,0.0,1.0,0.0,12516.531128878483,12516.531128878483,0.0
220.0,11392.571277740411,19.0,0.0,1.0,0.0,12531.828405515023,12531.828405515023,0.0
220.25,11406.812353396213,19.0,0.0,0.0,0.0,12547.493588735842,12547.493588735842,0.0
220.5,11420.718968519326,19.0,0.0,0.0,0.0,12562.790865371786,12562.790865371786,0.0
220.75,11434.084247514094,19.0,0.0,0.0,0.0,12577.492672266,12577.492672266,0.0
221.0,11447.449526508863,19.0,0.0,0.0,0.0,12592.194479160044,12592.194479160044,0.0
221.25,11461.3687149109,26.0,7.0,0.0,0.0,12607.505586401974,12607.505586401974,0.0
221.5,11474.733993905667,26.0,0.0,0.0,0.0,12622.207393296223,12622.207393296223,0.0
221.75,11487.180281647963,25.0,0.0,1.0,0.0,12635.898309812748,12635.898309812748,0.0
222.0,11499.626569390259,25.0,0.0,0.0,0.0,12649.589226329275,12649.589226329275,0.0
222.25,11512.838559945652,26.0,2.0,1.0,2.4980018054066022e-15,12664.122415940205,12664.122415940205,3.5420555377640994e-12
222.5,11525.284847687948,25.0,0.0,1.0,1.509903313490213e-14,12677.813332456737,12677.813332456737,3.932826286856539e-12
222.75,11536.40386792863,24.0,0.0,1.0,1.9761969838327786e-14,12690.044254721486,12690.044254721486,4.8530623963927155e-12
223.0,11547.522888169313,20.0,0.0,4.0,2.1815882433884326e-14,12702.275176986226,12702.275176986226,4.38588054763045e-12
223.25,11559.61174887891,14.0,0.0,6.0,1.5987211554602254e-14,12715.572923766787,12715.572923766787,7.911893362688716e-12
223.5,11570.730769119595,13.0,0.0,1.0,1.942890293094024e-15,12727.803846031537,12727.803846031537,6.320277634586091e-12
223.75,11580.114246234521,13.0,0.0,0.0,1.9484414082171497e-14,12738.125670857962,12738.125670857962,5.872635711057228e-12
224.0,11589.497723349446,13.0,0.0,0.0,1.1213252548714081e-14,12748.447495684384,12748.447495684384,3.2578384434600594e-12
