node,product,amount(tonne/week),time
dairy098,p2,541.1545907993718,3
dairy098,p2,29.530153908848206,4
dairy098,p2,286.1964672488482,5
dairy098,p2,542.8627805888482,6
dairy098,p2,795.5836866600002,7
dairy098,p2,1052.2500000000002,8
dairy098,p2,256.66631334,10
dairy098,p2,513.33262668,11
dairy098,p2,769.99894002,12
dairy098,p2,864.3335133709389,13
dairy098,p2,52.61250000000002,15
dairy098,p3,786.96505452,1
dairy098,p3,1052.2500000000002,2
dairy098,p3,556.7183786400001,3
dairy098,p3,639.3069822000001,4
dairy098,p3,721.8955857600001,5
dairy098,p3,804.4841893200002,6
dairy098,p3,887.0727928800002,7
dairy098,p3,969.6613964400002,8
dairy098,p3,1052.2500000000002,9
dairy098,p3,969.6613964400002,10
dairy098,p3,1052.2500000000002,11
dairy098,p3,1052.2500000000002,12
dairy098,p3,969.6613964400002,13
dairy098,p3,1052.2500000000002,14
dairy098,p3,52.61250000000002,15
dairy099,p2,3739.4560862069998,1
dairy099,p2,4161.122172414,2
dairy099,p2,4454.4551019539995,3
dairy099,p2,4222.740668967045,4
dairy099,p2,3109.517385847909,5
dairy099,p2,1904.6155874630344,6
dairy099,p2,784.9944018326682,7
dairy099,p2,935.0804176887708,8
dairy099,p2,17.13836619679637,11
dairy099,p2,7.9953978312858,12
dairy099,p2,45.21707046000006,14
dairy099,p2,338.55000000000007,15
dairy099,p3,3453.471277269,1
dairy099,p3,3589.152554538,2
dairy099,p3,2922.443471784315,3
dairy099,p3,3016.830447264315,4
dairy099,p3,2350.12136451063,5
dairy099,p3,1610.1358600554745,6
dairy099,p3,943.4267773017898,7
dairy099,p3,619.5155950136846,8
dairy099,p3,55.3890735600001,12
dairy099,p3,149.7760490400001,13
dairy099,p3,244.16302452000008,14
dairy099,p3,338.55000000000007,15
dairy104,p2,12251.595655519073,1
dairy104,p2,12703.462233010696,2
dairy104,p2,11479.864287600383,3
dairy104,p2,10167.840504852049,4
dairy104,p2,8796.122056497308,5
dairy104,p2,8172.61029092383,6
dairy104,p2,6800.891842569088,7
dairy104,p2,5429.173394214346,8
dairy104,p2,4805.661628640869,9
dairy104,p2,4182.1498630673905,10
dairy104,p2,3558.638097493912,11
