,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n42,-0.07619607385594583,-0.07619607385594583,-0.06463222956723644,0.0,0.10315364793396524,0.1179561949151036,0.10315364793396524,801.1881710246296,-0.06263222956723644,0.12170096966458889,0.09172134704334282,1.3048379104340768,0.9332056245584976,1.034535028146259,101.05908167346531,101.21543001932044,101.14635217614683,0.0802763871320397,0.015872565039001696,0.06536323353535843,
n43,-0.060439521957167855,0.13763471483488116,0.13763471483488116,0.0,0.17521853018457395,0.21902539878318728,0.17521853018457395,801.1212716027377,-0.05843952195716785,0.10148245343657032,0.03800909101807401,1.201961625301201,0.8581298414174118,0.985854538369491,101.0183759680657,101.19864985715863,101.08996239426496,0.1797874344168114,0.1677110424298956,0.2645990272854854,
n44,-0.07970758551490305,0.3263151493097002,0.12172689218694434,0.0,0.29687694768313616,0.3406838162817495,0.29687694768313616,801.0442349451656,-0.07770758551490305,0.020418800826704483,0.020418800826704483,1.1400854428192295,0.7986295091427932,1.042057315181946,100.94700220326284,101.16635696980366,101.0185886294621,0.15625402790891346,0.03412886872424184,0.244516602298549,
n45,-0.06662758833403826,0.17965737318816544,0.11992464381950058,0.0,0.01865080512021705,0.033453352101355416,0.01865080512021705,801.2227828883615,-0.06462758833403826,0.23093625797263598,0.18171992631244963,1.2984787886618125,0.9789391383262018,1.0611998638387423,101.09155841396442,101.27899223110543,101.16070179928215,0.22358208714333117,0.0740056974984917,0.12081498781049585,
n46,-0.08984705734309394,0.21610427946910793,0.16626264511086142,0.0,-0.0078152446798304,0.006987302301307979,-0.0078152446798304,801.1646347211624,-0.08784705734309393,0.16193206422706552,0.0631165671838184,1.2365085130846674,0.954899352851492,1.0371600783640325,101.0725316681574,101.25996548529841,101.18956149938857,0.11958077405768266,0.05697997305366556,0.0631524506392308,
n47,-0.09353312457324356,0.1501490713534328,0.1501490713534328,0.0,-0.03791497566543145,0.04337027567704632,0.028567728695907943,801.1944119862425,-0.09153312457324356,0.22502728422941595,0.09553312457324356,1.2537533551005404,0.9354951003844315,1.0177558258969719,101.05312741569033,101.24056123283134,101.1701572469215,0.155963747433421,0.0933629464294039,0.09953542401496915,
n48,-0.12970990777668912,-0.03328242467880094,-0.12970990777668912,0.0,0.0955994812614194,0.1068564069362122,0.11309351094203787,801.0614330114131,-0.1277099077766891,0.23779233814510436,0.11889935908775323,1.2677479597770587,0.9641518383365197,1.0664261905914543,101.0441286693229,101.31404422843549,101.18792510739816,0.16290349977469493,0.05974491792205658,0.037894612799242416,
n49,-0.09396303460405875,-0.06306174768973978,-0.09396303460405875,0.0,0.03284947665738949,0.0441064023321823,0.05034350633800799,801.1160351384378,-0.09196303460405875,0.1118261235710667,0.15019617907189806,1.2962439345673604,0.997618507458669,1.0998928597136035,101.00971215587367,101.2376050540997,101.15192109972081,0.2123080839560073,0.10914950210336893,0.08729919698055477,
n50,-0.026867534624846482,0.11865026879841462,0.11865026879841462,0.0,0.0135878796928246,0.024844805367617406,0.031081909373443073,801.1458790037667,-0.024867534624846484,0.34549023482134295,0.19407970133845467,1.2716355954203438,0.9559475243625855,1.05822187661752,101.03687993090381,101.26477282912984,101.1817649650496,0.16331765344049856,0.060159071587860186,0.038308766465046024,
n51,-0.0333012220560398,0.19741566470846736,0.19741566470846736,0.0,0.0455695091518484,0.056826434826641264,0.06306353883246693,801.1653821021749,-0.0313012220560398,0.20774029953655918,0.056329766053670904,1.254578726375531,0.9426040481611364,1.044878400416071,101.04587313227631,101.27376603050234,101.15856074176294,0.1952992828995224,0.09214070104688402,0.07029039592406985,
n52,-0.06743966195177982,-0.06743966195177982,-0.06743966195177982,0.0,0.06144224398844056,0.07269916966323331,0.07893627366905898,801.1340785052084,-0.06543966195177982,0.23485737860467937,0.18521112430487074,1.2545215764518536,0.9323665958511724,1.0169414792831735,100.96331147812245,101.2600429213786,101.11137744791526,0.14504372754296446,0.10534549816941388,0.00373737552626352,
