id,partition,component
1387,4,1
1388,5,1
1389,5,1
1390,3,1
1391,3,1
1392,3,1
1393,11,1
1394,11,1
1395,2,1
1396,2,1
1397,2,1
1398,11,1
1399,2,1
1400,2,1
1401,2,1
1402,4,1
1403,4,1
1404,9,1
1405,9,1
1406,4,1
1407,4,1
1408,3,1
1409,3,1
1410,9,1
1411,3,1
1412,6,1
1413,6,1
1414,3,1
1415,6,1
1416,3,1
1417,11,1
1418,11,1
1419,11,1
1420,11,1
1421,11,1
1422,11,1
1423,11,1
1424,11,1
1425,11,1
1426,9,1
1427,9,1
1428,9,1
1429,9,1
1430,9,1
1431,9,1
1432,9,1
1433,9,1
1434,6,1
1435,6,1
1436,6,1
1437,6,1
1438,6,1
1439,6,1
1440,6,1
1441,0,1
1442,0,1
1443,2,1
1444,2,1
1445,2,1
1446,2,1
1447,2,1
1448,2,1
1449,2,1
1450,2,1
1451,2,1
1452,4,1
1453,4,1
1454,4,1
1455,4,1
1456,4,1
1457,4,1
1458,4,2
1459,4,2
1460,3,2
1461,3,2
1462,3,2
1463,3,2
1464,3,2
1465,2,2
1466,2,2
1467,2,2
1468,2,2
1469,2,2
1470,2,2
1471,2,2
1472,2,2
1473,2,2
1474,2,2
1475,4,2
1476,4,2
1477,4,2
1478,4,3
1479,4,3
1480,4,3
1481,4,3
1482,3,3
1483,3,3
1484,3,3
1485,3,3
1486,3,3
1487,3,3
1488,3,3
1489,0,3
1490,0,3
1491,0,3
1492,0,3
1493,1,3
1494,1,3
1495,1,3
1496,1,3
1497,1,3
1498,1,3
1499,1,3
1500,1,3
1501,5,3
1502,5,3
1503,4,3
1504,4,3
1505,4,3
1506,4,3
1507,5,3
1508,5,3
1509,5,3
1510,3,3
1511,3,3
1512,3,3
1513,11,3
1514,11,3
1515,11,3
1516,11,3
1517,11,3
1518,11,3
1519,11,3
1520,11,3
1521,11,3
1522,9,3
1523,9,3
1524,9,3
1525,9,1
1526,9,1
1527,9,1
1528,9,1
1529,6,1
1530,6,1
1531,6,1
1532,6,1
1533,6,1
1534,6,1
1535,6,1
1536,6,1
1537,0,1
1538,0,1
1539,2,1
1540,2,1
1541,2,1
1542,2,1
1543,2,1
1544,2,1
1545,2,1
1546,2,1
1547,2,1
1548,4,1
1549,4,1
1550,4,1
1551,4,1
1552,4,1
1553,4,1
1554,4,1
1555,4,1
1556,3,1
1557,3,1
1558,3,1
1559,3,1
1560,3,1
1561,2,1
1562,2,1
1563,2,1
1564,2,1
1565,2,1
1566,2,1
1567,2,1
1568,2,1
1569,2,1
1570,2,1
1571,4,1
1572,4,1
1573,4,1
1574,4,1
1575,4,1
1576,4,1
1577,4,1
1578,3,1
1579,3,1
1580,3,1
1581,3,1
1582,3,1
1583,3,1
1584,3,1
1585,0,1
1586,0,1
1587,0,1
1588,0,1
1589,0,1
1590,0,1
1591,1,1
1592,1,1
1593,1,1
1594,1,1
1595,1,1
1596,1,1
1597,1,1
1598,5,1
1599,5,1
1600,5,1
1601,5,1
1602,5,1
1603,5,2
1604,5,2
1605,5,2
1606,5,2
1607,5,2
1608,3,2
1609,12,2
1610,12,2
1611,12,2
1612,12,2
1613,12,2
1614,12,2
1615,10,2
1616,10,2
1617,10,2
1618,10,2
1619,10,2
1620,10,2
1621,10,2
1622,7,2
1623,7,2
1624,7,2
1625,7,3
1626,7,3
1627,7,3
1628,8,3
1629,8,3
1630,8,3
1631,8,3
1632,8,3
1633,0,3
1634,0,3
1635,0,3
1636,0,3
1637,0,3
1638,0,3
1639,0,3
1640,0,3
1641,1,3
1642,1,3
1643,1,3
1644,1,3
1645,1,3
1646,1,3
1647,1,3
1648,5,3
1649,5,3
1650,5,3
1651,5,3
1652,5,3
1653,5,3
1654,5,3
1655,5,3
1656,5,3
1657,12,3
1658,12,3
1659,12,3
1660,12,3
1661,12,3
1662,12,3
1663,10,3
1664,10,3
1665,10,3
1666,10,3
1667,10,3
1668,10,1
1669,7,1
1670,7,1
1671,7,1
1672,7,1
1673,7,1
1674,7,1
1675,8,1
1676,8,1
1677,8,1
1678,8,1
1679,8,1
1680,8,1
1681,12,1
1682,12,1
1683,12,1
1684,12,1
1685,12,1
1686,12,1
1687,10,1
1688,10,1
1689,10,1
1690,10,1
1691,10,1
1692,10,1
1693,7,1
1694,7,1
1695,7,1
1696,7,1
1697,7,1
1698,7,1
1699,8,1
1700,8,1
1701,8,1
1702,8,1
1703,8,1
1704,8,1
1705,0,1
1706,0,1
1707,0,1
1708,0,1
1709,0,1
1710,0,1
1711,1,1
1712,1,1
1713,1,1
1714,1,1
1715,1,1
1716,1,1
1717,1,1
1718,5,1
1719,5,1
1720,5,1
1721,5,1
1722,5,1
1723,5,1
1724,5,1
1725,5,1
1726,5,1
1727,5,1
1728,3,1
1729,11,1
1730,11,2
1731,11,2
1732,11,2
1733,11,2
1734,11,2
1735,11,2
1736,11,2
1737,11,2
1738,9,2
1739,9,2
1740,9,2
1741,9,2
1742,9,2
1743,9,2
1744,9,2
1745,9,2
1746,6,2
1747,6,2
1748,6,2
1749,6,2
1750,6,2
1751,6,2
1752,6,2
1753,11,3
1754,11,3
1755,2,3
1756,2,3
1757,2,3
1758,2,3
1759,2,3
1760,2,3
1761,2,3
1762,4,3
1763,4,3
1764,4,3
1765,4,3
1766,4,3
1767,4,3
1768,3,3
1769,3,3
1770,9,3
1771,3,3
1772,3,3
1773,6,3
1774,3,3
1775,6,3
1776,3,3
1777,12,3
1778,12,3
1779,10,3
1780,10,3
1781,10,3
1782,10,3
1783,10,3
1784,10,3
1785,10,3
1786,7,3
1787,7,3
1788,7,3
1789,7,3
1790,7,3
1791,7,3
1792,7,3
1793,7,3
1794,8,3
1795,8,3
1796,8,3
1797,8,3
1798,8,3
1799,8,3
1800,8,3
