# 1. Arc ID| 2. Arc first node| 3. Arc second node| 4. Arc capacity|5. Arc length
A00367|NC010|NC245|1.00E+06|163.9974187
A00368|NC011|NC002|1.00E+06|141.9885346
A00369|NC011|NC003|1.00E+06|25.05235651
A00370|NC011|NC004|1.00E+06|326.2576613
A00371|NC011|NC005|1.00E+06|324.7546667
A00372|NC011|NC006|1.00E+06|330.7559823
A00373|NC011|NC007|1.00E+06|342.5928996
A00374|NC011|NC008|1.00E+06|303.6840899
A00375|NC011|NC013|1.00E+06|32.96374654
A00376|NC011|NC015|1.00E+06|14.90524684
A00377|NC011|NC025|1.00E+06|1.808418713
A00378|NC011|NC026|1.00E+06|11.44535707
A00379|NC011|NC029|1.00E+06|315.4592531
A00380|NC011|NC031|1.00E+06|399.6862262
A00381|NC011|NC032|1.00E+06|19.39650862
A00382|NC011|NC034|1.00E+06|23.86337787
A00383|NC011|NC040|1.00E+06|8.191784977
A00384|NC011|NC041|1.00E+06|248.5037797
A00385|NC011|NC042|1.00E+06|286.2816195
A00386|NC011|NC043|1.00E+06|204.0543462
A00387|NC011|NC044|1.00E+06|189.4631692
A00388|NC011|NC045|1.00E+06|205.9114337
A00389|NC011|NC048|1.00E+06|200.1693958
A00390|NC011|NC049|1.00E+06|221.1761132
A00391|NC011|NC050|1.00E+06|204.8747277
A00392|NC011|NC051|1.00E+06|220.6778829
A00393|NC011|NC052|1.00E+06|194.1997558
A00394|NC011|NC054|1.00E+06|153.1628143
A00395|NC011|NC061|1.00E+06|155.7580154
A00396|NC011|NC063|1.00E+06|167.8295015
A00397|NC011|NC064|1.00E+06|178.3637391
A00398|NC011|NC065|1.00E+06|86.09604812
A00399|NC011|NC066|1.00E+06|139.5621428
A00400|NC011|NC068|1.00E+06|105.6479808
A00401|NC011|NC069|1.00E+06|111.9650493
A00402|NC011|NC070|1.00E+06|63.28889922
A00403|NC011|NC071|1.00E+06|317.6594634
A00404|NC011|NC074|1.00E+06|309.0362684
A00405|NC011|NC076|1.00E+06|54.64613777
A00406|NC011|NC080|1.00E+06|97.51988422
A00407|NC011|NC086|1.00E+06|74.27086204
A00408|NC011|NC089|1.00E+06|69.2940601
A00409|NC011|NC090|1.00E+06|290.1970215
A00410|NC011|NC092|1.00E+06|268.073551
A00411|NC011|NC093|1.00E+06|252.8111913
A00412|NC011|NC095|1.00E+06|106.2921552
A00413|NC011|NC097|1.00E+06|89.07081553
A00414|NC011|NC101|1.00E+06|217.0944058
A00415|NC011|NC105|1.00E+06|240.3519781
A00416|NC011|NC106|1.00E+06|248.2607425
A00417|NC011|NC107|1.00E+06|157.3687232
A00418|NC011|NC109|1.00E+06|139.1584593
A00419|NC011|NC110|1.00E+06|131.7464225
A00420|NC011|NC111|1.00E+06|157.2882082
A00421|NC011|NC115|1.00E+06|26.37254969
A00422|NC011|NC116|1.00E+06|49.12704851
A00423|NC011|NC120|1.00E+06|46.460202
A00424|NC011|NC121|1.00E+06|38.93019056
A00425|NC011|NC128|1.00E+06|258.2788826
A00426|NC011|NC130|1.00E+06|242.7994913
A00427|NC011|NC132|1.00E+06|142.3322792
A00428|NC011|NC133|1.00E+06|131.7847606
A00429|NC011|NC136|1.00E+06|18.82054957
A00430|NC011|NC143|1.00E+06|39.77167781
A00431|NC011|NC146|1.00E+06|39.4790003
