#1. Demand ID,2. Node ID,3. Time,4. Product,5. Bid,6. Capacity,7. Emissions,8. Emissions coefficients
D00372,N13027,T0,Recyclables,0.0,10000000,,
D00373,N13029,T0,Recyclables,0.0,10000000,,
D00374,N13031,T0,Recyclables,0.0,10000000,,
D00375,N13033,T0,Recyclables,0.0,10000000,,
D00376,N13035,T0,Recyclables,0.0,10000000,,
D00377,N13037,T0,Recyclables,0.0,10000000,,
D00378,N13039,T0,Recyclables,0.0,10000000,,
D00379,N13043,T0,Recyclables,0.0,10000000,,
D00380,N13045,T0,Recyclables,0.0,10000000,,
D00381,N13047,T0,Recyclables,0.0,10000000,,
D00382,N13049,T0,Recyclables,0.0,10000000,,
D00383,N13051,T0,Recyclables,0.0,10000000,,
D00384,N13053,T0,Recyclables,0.0,10000000,,
D00385,N13055,T0,Recyclables,0.0,10000000,,
D00386,N13057,T0,Recyclables,0.0,10000000,,
D00387,N13059,T0,Recyclables,0.0,10000000,,
D00388,N13061,T0,Recyclables,0.0,10000000,,
D00389,N13063,T0,Recyclables,0.0,10000000,,
D00390,N13065,T0,Recyclables,0.0,10000000,,
D00391,N13067,T0,Recyclables,0.0,10000000,,
D00392,N13069,T0,Recyclables,0.0,10000000,,
D00393,N13071,T0,Recyclables,0.0,10000000,,
D00394,N13073,T0,Recyclables,0.0,10000000,,
D00395,N13075,T0,Recyclables,0.0,10000000,,
D00396,N13077,T0,Recyclables,0.0,10000000,,
D00397,N13079,T0,Recyclables,0.0,10000000,,
D00398,N13081,T0,Recyclables,0.0,10000000,,
D00399,N13083,T0,Recyclables,0.0,10000000,,
D00400,N13085,T0,Recyclables,0.0,10000000,,
D00401,N13087,T0,Recyclables,0.0,10000000,,
D00402,N13089,T0,Recyclables,0.0,10000000,,
D00403,N13091,T0,Recyclables,0.0,10000000,,
D00404,N13093,T0,Recyclables,0.0,10000000,,
D00405,N13095,T0,Recyclables,0.0,10000000,,
D00406,N13097,T0,Recyclables,0.0,10000000,,
D00407,N13099,T0,Recyclables,0.0,10000000,,
D00408,N13101,T0,Recyclables,0.0,10000000,,
D00409,N13103,T0,Recyclables,0.0,10000000,,
D00410,N13105,T0,Recyclables,0.0,10000000,,
D00411,N13107,T0,Recyclables,0.0,10000000,,
D00412,N13109,T0,Recyclables,0.0,10000000,,
D00413,N13111,T0,Recyclables,0.0,10000000,,
D00414,N13113,T0,Recyclables,0.0,10000000,,
D00415,N13115,T0,Recyclables,0.0,10000000,,
D00416,N13117,T0,Recyclables,0.0,10000000,,
D00417,N13119,T0,Recyclables,0.0,10000000,,
D00418,N13121,T0,Recyclables,0.0,10000000,,
D00419,N13123,T0,Recyclables,0.0,10000000,,
D00420,N13125,T0,Recyclables,0.0,10000000,,
D00421,N13127,T0,Recyclables,0.0,10000000,,
D00422,N13129,T0,Recyclables,0.0,10000000,,
D00423,N13131,T0,Recyclables,0.0,10000000,,
D00424,N13133,T0,Recyclables,0.0,10000000,,
D00425,N13135,T0,Recyclables,0.0,10000000,,
D00426,N13137,T0,Recyclables,0.0,10000000,,
D00427,N13139,T0,Recyclables,0.0,10000000,,
D00428,N13141,T0,Recyclables,0.0,10000000,,
D00429,N13143,T0,Recyclables,0.0,10000000,,
D00430,N13145,T0,Recyclables,0.0,10000000,,
D00431,N13147,T0,Recyclables,0.0,10000000,,
D00432,N13149,T0,Recyclables,0.0,10000000,,
D00433,N13151,T0,Recyclables,0.0,10000000,,
D00434,N13153,T0,Recyclables,0.0,10000000,,
D00435,N13155,T0,Recyclables,0.0,10000000,,
D00436,N13157,T0,Recyclables,0.0,10000000,,
D00437,N13159,T0,Recyclables,0.0,10000000,,
D00438,N13161,T0,Recyclables,0.0,10000000,,
D00439,N13163,T0,Recyclables,0.0,10000000,,
D00440,N13165,T0,Recyclables,0.0,10000000,,
D00441,N13167,T0,Recyclables,0.0,10000000,,
D00442,N13169,T0,Recyclables,0.0,10000000,,
D00443,N13171,T0,Recyclables,0.0,10000000,,
D00444,N13173,T0,Recyclables,0.0,10000000,,
D00445,N13175,T0,Recyclables,0.0,10000000,,
D00446,N13177,T0,Recyclables,0.0,10000000,,
D00447,N13179,T0,Recyclables,0.0,10000000,,
D00448,N13181,T0,Recyclables,0.0,10000000,,
D00449,N13183,T0,Recyclables,0.0,10000000,,
D00450,N13185,T0,Recyclables,0.0,10000000,,
D00451,N13187,T0,Recyclables,0.0,10000000,,
D00452,N13189,T0,Recyclables,0.0,10000000,,
D00453,N13191,T0,Recyclables,0.0,10000000,,
D00454,N13193,T0,Recyclables,0.0,10000000,,
D00455,N13195,T0,Recyclables,0.0,10000000,,
D00456,N13197,T0,Recyclables,0.0,10000000,,
D00457,N13199,T0,Recyclables,0.0,10000000,,
D00458,N13201,T0,Recyclables,0.0,10000000,,
D00459,N13205,T0,Recyclables,0.0,10000000,,
D00460,N13207,T0,Recyclables,0.0,10000000,,
D00461,N13209,T0,Recyclables,0.0,10000000,,
